Paper Title ,Abstract,Review Text,Review Type
HFSA: hybrid feature selection approach to improve medical diagnostic system,"Thanks to the presence of artificial intelligence methods, the diagnosis of patients can be done quickly and accurately. This article introduces a new diagnostic system (DS) that includes three main layers called the rejection layer (RL), selection layer (SL), and diagnostic layer (DL) to accurately diagnose cases suffering from various diseases. In RL, outliers can be removed using the genetic algorithm (GA). At the same time, the best features can be selected by using a new feature selection method called the hybrid feature selection approach (HFSA) in SL. In the next step, the filtered data is passed to the naive Bayes (NB) classifier in DL to give accurate diagnoses. In this work, the main contribution is represented in introducing HFSA as a new selection approach that is composed of two main stages; fast stage (FS) and accurate stage (AS). In FS, chi-square, as a filtering methodology, is applied to quickly select the best features while Hybrid Optimization Algorithm (HOA), as a wrapper methodology, is applied in AS to accurately select features. It is concluded that HFSA is better than other selection methods based on experimental results because HFSA can enable three different classifiers called NB, K-nearest neighbors (KNN), and artificial neural network (ANN) to provide the maximum accuracy, precision, and recall values and the minimum error value. Additionally, experimental results proved that DS, including GA as an outlier rejection method, HFSA as feature selection, and NB as diagnostic mode, outperformed other diagnosis models.","Basic reporting
This paper introduces an advanced Diagnostic System (DS) leveraging Artificial Intelligence (AI) techniques for precise and efficient medical diagnostics. The proposed system incorporates a novel Hybrid Feature Selection Approach (HFSA) that combines filter-based and wrapper-based methodologies to optimize feature selection and enhance the performance of the Naive Bayes (NB) classifier. Through its multi-layered structure—Rejection Layer (RL), Selection Layer (SL), and Diagnostic Layer (DL)—the system demonstrates significant improvements in diagnostic accuracy, precision, and recall. The revision should focus on enhancing the scientific rigor of the methodology, clarifying certain ambiguous details, and strengthening the experimental validation.

a. The novelty and computational feasibility of combining Genetic Algorithm (GA) with the Tiki-Taka Algorithm (T²A) in the Accurate Stage (AS) of HFSA should be elaborated. Include an analysis of why this hybrid optimization is superior to existing methods for feature selection in medical diagnostics.

b. Clarify the choice of chi-square as the filter methodology in the Fast Stage (FS). Provide a justification of its suitability compared to other statistical methods, particularly in handling high-dimensional medical datasets.

c. Expand the explanation of the Rejection Layer (RL) to include details about how GA identifies and removes outliers. Specify whether the definition of outliers is domain-specific or generalized across datasets.

d. Incorporate a thorough evaluation of HFSA against state-of-the-art feature selection approaches. Compare their computational complexity, runtime efficiency, and diagnostic performance to substantiate the claim that HFSA outperforms existing methods.

e. The experimental setup requires more details, including dataset characteristics, parameter configurations, and cross-validation techniques used. This ensures reproducibility and provides transparency for performance metrics such as accuracy, precision, recall, and error rates.

f. The integration of the NB classifier within the Diagnostic Layer (DL) should be critically assessed. Discuss the trade-offs in using NB versus more advanced classifiers like Support Vector Machines (SVM) or ensemble methods in the context of medical diagnostics.

g. Add a detailed discussion of potential limitations of the proposed system. For example, how sensitive is HFSA to changes in data distribution, class imbalance, or noisy features in real-world medical datasets?

h. The paper should include a future research direction section that addresses the scalability of the proposed system, particularly when dealing with rapidly growing datasets or integrating multi-modal medical data (e.g., text, images, and numerical records).

The Literature citation is not adequate, and the related work to machine learning should be discussed:
1. Robust semi-supervised multi-label feature selection based on shared subspace and manifold learning
2. Sparse feature selection using hypergraph Laplacian-based semi-supervised discriminant analysis
3. Nonnegative Matrix Factorization in Dimensionality Reduction: A Survey

Experimental design
not

Validity of the findings
not",Authentic
Numerical dispersed flow simulation of fire-flake particle dynamics and its learning representation,"In this article, we propose methods for simulating the detailed flow of dispersed fire-flake particles in response to the movement of a flame, using chaotic advection and various buoyant flow techniques. Furthermore, we utilize these techniques to gather a synthetic dataset of detailed fire-flake particles and extend the solver to represent the movement of fire-flake particles based on learning-based approaches. Fire-flake particles not only exhibit unique and complex movements on their own, but they are also significantly influenced by the movement of the flame and the surrounding airflow. Modeling the flow of fire-flake particles realistically is challenging due to their chaotic and constantly changing nature. Instead of explicitly modeling the complex fire-flake particles in the flame based on fluid mechanics, this article efficiently approximates the chaotic motion of fire-flake particles using two approaches: 1) chaotic advection to simulate the flow and 2) controlled buoyant flow, which varies based on the temperature and lifespan of the fire-flake particles. Additionally, we collect a fire-flake dataset through this simulation and extends the solver to learn the representation of fire-flake motion using neural networks. During the advection process of fire-flake particles, a new stochastic solver is used to calculate the subgrid interactions between them. In this article, not only we propose algorithms that can express these techniques through numerical simulation, but we also extend this solver using artificial intelligence techniques to enable learning representation. By using the proposed technique, it is possible to efficiently simulate fire-flake particles with various movements in chaotic regions, and it allows for more detailed representation of fire-flake particles compared to existing methods. Unlike the typical random walk approach that adds noise randomly to the movement, our method considers the size and direction of the flame. This allows us to express fire-flake particles stably in most scenes without the need for parameter adjustments.","Basic reporting
The paper is well-written and easy to follow. However, it would benefit from more emphasis on the rationale behind the development of the proposed method. While the paper thoroughly explains ""what"" was done, the reasoning behind the specific design choices remains unclear. Further clarification on this would strengthen the work. See below for additional details.

Experimental design
To summarize the contribution, the paper adapts the method from Kim et al. (2010), originally designed for simulating small bubbles in water, and applies it to simulate fire flakes using a relatively simple fire model from Nguyen et al. (2002). This contribution seems somewhat minimal, especially considering the length of the paper.

The authors make several claims about why the motion of fire flakes is fundamentally different from that of bubbles:
50: ""On the other hand, fire-flake particles, being lighter than air and significantly influenced by air resistance, exhibit relatively more chaotic and disorderly movement.""
135: ""Most existing methods have focused on representing bubbles in water, and there has been relatively less research specifically dedicated to modeling fire-flake particles represented by flames.""
253: ""unlike air bubbles in water, near the flame, there are turbulent interactions between fuel and air that give rise to chaotic movements.""
447: ""Unlike air bubbles, fire-flake particles exhibit highly dynamic movements in chaotic regions.""
However, these assertions are not supported by evidence (citations would be helpful), and yet, they still proceed to apply an existing bubble simulation technique to model fire flakes, which appears contradictory.

Additionally, the paper proposes training a neural network to learn the emission, trajectories, and lifespan of fire flakes. However, the training uses synthetic data generated by the paper's own simulation method, which raises the question of why an already established model is being ""re-learned.""

Validity of the findings
The main result of the paper shows that the proposed method generates more break-up in the motion of fire flake particles compared to previous methods that did not incorporate chaotic advection. While this outcome is expected, it is also unsurprising and aligns with the findings of Kim et al. (2010), who achieved something similar with bubbles.

The machine learning (ML) aspect of the paper is intriguing, but as noted earlier, its purpose remains unclear. The approach essentially re-learns an already established model (which, not surprisingly, yields similar results), and the paper does not demonstrate any performance benefits of using an ML technique over traditional simulation methods.

Additional comments
All of the simulations in the paper are conducted in 2D, and there is no supplemental video provided, making it difficult to evaluate the quality of the results.

Overall, I would consider the paper's contribution to be quite limited. It seems premature for publication and would require significant revisions.",Authentic
Numerical dispersed flow simulation of fire-flake particle dynamics and its learning representation,"In this article, we propose methods for simulating the detailed flow of dispersed fire-flake particles in response to the movement of a flame, using chaotic advection and various buoyant flow techniques. Furthermore, we utilize these techniques to gather a synthetic dataset of detailed fire-flake particles and extend the solver to represent the movement of fire-flake particles based on learning-based approaches. Fire-flake particles not only exhibit unique and complex movements on their own, but they are also significantly influenced by the movement of the flame and the surrounding airflow. Modeling the flow of fire-flake particles realistically is challenging due to their chaotic and constantly changing nature. Instead of explicitly modeling the complex fire-flake particles in the flame based on fluid mechanics, this article efficiently approximates the chaotic motion of fire-flake particles using two approaches: 1) chaotic advection to simulate the flow and 2) controlled buoyant flow, which varies based on the temperature and lifespan of the fire-flake particles. Additionally, we collect a fire-flake dataset through this simulation and extends the solver to learn the representation of fire-flake motion using neural networks. During the advection process of fire-flake particles, a new stochastic solver is used to calculate the subgrid interactions between them. In this article, not only we propose algorithms that can express these techniques through numerical simulation, but we also extend this solver using artificial intelligence techniques to enable learning representation. By using the proposed technique, it is possible to efficiently simulate fire-flake particles with various movements in chaotic regions, and it allows for more detailed representation of fire-flake particles compared to existing methods. Unlike the typical random walk approach that adds noise randomly to the movement, our method considers the size and direction of the flame. This allows us to express fire-flake particles stably in most scenes without the need for parameter adjustments.","Basic reporting
The overall workflow of the work is appreciable.

Experimental design
Experimental design and the results provided is goo and sufficient.

Validity of the findings
The article meets the standard of the journal due to the experimental results given is good.",Generic
Numerical dispersed flow simulation of fire-flake particle dynamics and its learning representation,"In this article, we propose methods for simulating the detailed flow of dispersed fire-flake particles in response to the movement of a flame, using chaotic advection and various buoyant flow techniques. Furthermore, we utilize these techniques to gather a synthetic dataset of detailed fire-flake particles and extend the solver to represent the movement of fire-flake particles based on learning-based approaches. Fire-flake particles not only exhibit unique and complex movements on their own, but they are also significantly influenced by the movement of the flame and the surrounding airflow. Modeling the flow of fire-flake particles realistically is challenging due to their chaotic and constantly changing nature. Instead of explicitly modeling the complex fire-flake particles in the flame based on fluid mechanics, this article efficiently approximates the chaotic motion of fire-flake particles using two approaches: 1) chaotic advection to simulate the flow and 2) controlled buoyant flow, which varies based on the temperature and lifespan of the fire-flake particles. Additionally, we collect a fire-flake dataset through this simulation and extends the solver to learn the representation of fire-flake motion using neural networks. During the advection process of fire-flake particles, a new stochastic solver is used to calculate the subgrid interactions between them. In this article, not only we propose algorithms that can express these techniques through numerical simulation, but we also extend this solver using artificial intelligence techniques to enable learning representation. By using the proposed technique, it is possible to efficiently simulate fire-flake particles with various movements in chaotic regions, and it allows for more detailed representation of fire-flake particles compared to existing methods. Unlike the typical random walk approach that adds noise randomly to the movement, our method considers the size and direction of the flame. This allows us to express fire-flake particles stably in most scenes without the need for parameter adjustments.","Basic reporting
This paper proposes an efficient technique to simulate dispersed fire-flake particles that respond to the movement of a flame. The paper is well-organized, and the findings are clearly represented. I would recommend the paper for publication after minor revision.
1. Check the comma and the punctuation in the text and at the ends of equations (Equations 3, 6 and the rest).
2. Check the equation number on line 215.
3. Tell us more about the numerical method used. What are the limitations of the method? Are there other robust methods? What motivates the choice of the current method to present the results.
4. The abstract should contain some obtained results through an ending sentence.
5. On Line 222, replace ‘In this paper’ by ‘In addition’ or any equivalent expression as it is written in the previous sentence.
6. Discuss the implications of your findings for real-world applications.

Experimental design
Yes

Validity of the findings
Yes

Additional comments
NO",Authentic
FLASC: a flare-sensitive clustering algorithm,"Exploratory data analysis workflows often use clustering algorithms to find groups of similar data points. The shape of these clusters can provide meaningful information about the data. For example, a Y-shaped cluster might represent an evolving process with two distinct outcomes. This article presents flare-sensitive clustering (FLASC), an algorithm that detects branches within clusters to identify such shape-based subgroups. FLASC builds upon HDBSCAN*—a state-of-the-art density-based clustering algorithm—and detects branches in a post-processing step using within-cluster connectivity. Two algorithm variants are presented, which trade computational cost for noise robustness. We show that both variants scale similarly to HDBSCAN* regarding computational cost and provide similar outputs across repeated runs. In addition, we demonstrate the benefit of branch detection on two real-world data sets. Our implementation is included in the hdbscan Python package and available as a standalone package at https://github.com/vda-lab/pyflasc.","Basic reporting
No comment
Experimental design
1. Why was the FLASC algorithm compared with the K-means algorithm, if it is known by the clustering community that this algorithm does not detect groups of irregular figures? I think that being very popular is not a good argument for the comparison.
2. What are the values of the parameters used by the DBSCAN* algorithm.
3. How was the optimal number of groups determined in the K-means algorithm?
4. It is recommended to compare the proposed algorithm with an OPTICS algorithm.
5. Could you explain and give arguments for the “Evaluation and settings” sections of all the cases presented.
6. Could you explain what is written in lines 402-405, why K=5, min cluster size Mc = 100…..
7. How was the efficiency of the clusters obtained by the three algorithms measured?
Validity of the findings
No comment",Authentic
FLASC: a flare-sensitive clustering algorithm,"Exploratory data analysis workflows often use clustering algorithms to find groups of similar data points. The shape of these clusters can provide meaningful information about the data. For example, a Y-shaped cluster might represent an evolving process with two distinct outcomes. This article presents flare-sensitive clustering (FLASC), an algorithm that detects branches within clusters to identify such shape-based subgroups. FLASC builds upon HDBSCAN*—a state-of-the-art density-based clustering algorithm—and detects branches in a post-processing step using within-cluster connectivity. Two algorithm variants are presented, which trade computational cost for noise robustness. We show that both variants scale similarly to HDBSCAN* regarding computational cost and provide similar outputs across repeated runs. In addition, we demonstrate the benefit of branch detection on two real-world data sets. Our implementation is included in the hdbscan Python package and available as a standalone package at https://github.com/vda-lab/pyflasc.","Basic reporting
1. The selection criteria of the algorithm parameters (e.g., distance threshold, minimum branch size, etc.) are not discussed in detail during the experiment. It is suggested to add the comparison experiment of the performance of the algorithm under different parameters to show the robustness and adaptability of the FLASC algorithm.

2. In the past three years, several studies have addressed the challenge of flare detection. Notable examples include, “Clustering by Measuring Local Direction Centrality for Data with Heterogeneous Density and Weak Connectivity” (Nature Communications), and TWStream (IEEE TFS). These algorithms merit further discussion.

Experimental design
1.The experimental comparison object focuses on a major density clustering algorithm (HDBSCAN*). In order to more fully demonstrate the superiority of FLASC, it is suggested to introduce other density clustering algorithms, such as, Block-Diagonal Guided DBSCAN Clustering(IEEE TKDE github: https://github.com/y66y/TKDE) and M3W (IEEE TNNLS github: https://github.com/Du-Team/M3W).

**PeerJ Staff Note:** It is PeerJ policy that additional references/work suggested during the peer-review process should only be included if the authors are in agreement that they are relevant and useful.

2.The current experimental datasets are mainly simulated data or datasets of specific nature, and lack the testing of real application scenarios. It is suggested to add some datasets from real applications to verify the practicality of FLASC.

Validity of the findings
The time complexity of FLASC algorithm is theoretically analyzed in the paper, so the time comparison experiments are very much expected.",Authentic
FLASC: a flare-sensitive clustering algorithm,"Exploratory data analysis workflows often use clustering algorithms to find groups of similar data points. The shape of these clusters can provide meaningful information about the data. For example, a Y-shaped cluster might represent an evolving process with two distinct outcomes. This article presents flare-sensitive clustering (FLASC), an algorithm that detects branches within clusters to identify such shape-based subgroups. FLASC builds upon HDBSCAN*—a state-of-the-art density-based clustering algorithm—and detects branches in a post-processing step using within-cluster connectivity. Two algorithm variants are presented, which trade computational cost for noise robustness. We show that both variants scale similarly to HDBSCAN* regarding computational cost and provide similar outputs across repeated runs. In addition, we demonstrate the benefit of branch detection on two real-world data sets. Our implementation is included in the hdbscan Python package and available as a standalone package at https://github.com/vda-lab/pyflasc.","Basic reporting
* There are certain terms that are not clear (at least to this reviewer) in the following lines:

- 14: ""their shape can represent"", please be more explicit in the paper what a shape is, provide a definition or an intuition of it.

- 17: in how far do branches 'describe' within-cluster connectivity? please elaborate on that within the paper

- 19: 'stable outputs', stable in which term/with respect to what? Please elaborate on that

- 20: 'flare sensitive' what is meant by that term? please define or provide intuitions for that within the text

- 25: 'traditional algorithms', what is understood by the authors via the term 'traditional'?

- 31: 'subpopulations': what is meant by that term? do you mean subsets of objects/data points?

- 36: ""Flares are connected in the simplicial complex"", please provide a definition of flares in context of topological data analysis (TDA)

- 55+56: ""branching hierarchies"" and ""branch-based subgroups of clusters"": Please provide a definition of these terms. Furthermore what is the difference in context of your manuscript regarding the terms subgroups and subpopulations?

- 62+63: good! nice reference of existing work for branch detection in 3d models of plants

- 70: ""...intuitive ... and branch sizes..."" in how far are branch sizes intuitive? please elaborate

- The elaboration on HDBSCAN* is very well done and elaborate!

Experimental design
- 155: ""distance between them is smaller than or equal to 1/lambda_t"", why is that the case or thresholded by that? please elaborate on that matter

- 178: ""no cluster selection epsilon"", what is meant by that? do you refer to an epsilon-neighborhood radius? please elaborate

-236: ""The eccentricity function (Equation (4)) is more complex to analyse..."" with respect to what? what makes it so complex? please elaborate

- You compare FLASC against k-means and HDBSCAN*, while the latter makes sense, since your proposed method shares many theoretical and algorithmic foundations, it remains unclear why you do not compare against other methods. Most important this reviewer recommends to compare also against Hierarchical Clustering (e.g. SLINK) and Spectral clustering. Both of them rely on trees/graphs as their underlying structures. Prior works by Hess et. al [The relationship of DBSCAN to matrix factorization and spectral clustering] and Beer et. al [Connecting the Dots--Density-Connectivity Distance unifies DBSCAN, k-Center and Spectral Clustering], also revealed commonalities between DBSCAN, Spectral Clustering.

**PeerJ Staff Note:** It is PeerJ policy that additional references suggested during the peer-review process should only be included if the authors are in agreement that they are relevant and useful.

Furthermore regarding the discovery of branches, this reviewer recommends to compare FLASC against 4C, a density-based clustering algorithm [Computing Clusters of Correlation Connected Objects] that is capable to detect linear correlations (to a certain degree discovering linear branches) within a given dataset.

To test your method against the proposed algorithms has the purpose to substantially underline the power of your method by comparing against other methods that should, in theory, be capable to detect it.

- while the figures with the ARI scores are convincing (cf. Fig. 4), a question that comes up is: how does FLASC behave if the shape of three branches is more like a Y-shape or in 3D two Y-shapes with a certain viccinity to each other. Please provide 2-3 more complex datasets in which FLASC is challenged to convince the readers that it is also capable to deal with different shapes and different proximities of clusters to each other

Validity of the findings
The used methods are well established and based on the datasets on which the experiments have been conducted they seem meaningful, however, as mentioned in 2. Experimental Design, more experiments are needed to investigate the capabilities and limitations of that method.",Authentic
FLASC: a flare-sensitive clustering algorithm,"Exploratory data analysis workflows often use clustering algorithms to find groups of similar data points. The shape of these clusters can provide meaningful information about the data. For example, a Y-shaped cluster might represent an evolving process with two distinct outcomes. This article presents flare-sensitive clustering (FLASC), an algorithm that detects branches within clusters to identify such shape-based subgroups. FLASC builds upon HDBSCAN*—a state-of-the-art density-based clustering algorithm—and detects branches in a post-processing step using within-cluster connectivity. Two algorithm variants are presented, which trade computational cost for noise robustness. We show that both variants scale similarly to HDBSCAN* regarding computational cost and provide similar outputs across repeated runs. In addition, we demonstrate the benefit of branch detection on two real-world data sets. Our implementation is included in the hdbscan Python package and available as a standalone package at https://github.com/vda-lab/pyflasc.","Basic reporting
This paper was written very well and has a good opportunity to be published in this great journal, after addressing the following concerns in the first round:

- I encourage you to add more detail about your core contributions in the abstract. Abstract has five-section and you should follow the best practices in your area! Please also mention the novelties in the abstract.
- Long paragraphs.
- Please bring some facts and figures in the introduction to support the ideas.

Experimental design
- Literature review is very short and old! We are in jan 2024! You have not covered the knowledge edge! Please clarify the contribution of the paper according to the research gap. Many recent papers in the area can be added to the literature review. You have not referred to the main works in this area. I do not propose you any special reference due to ethical issues. The authors should review the recent works in these areas. I simply search and find following works and similar algorithm like, TGA, SEO, RDA, HBA, FHO, etc. Do and implement your algorithm in professional way by needed experiments... Also, you should cover these algorithms in the LR and refer to the works as samples for their usages.

Also, you should cover these algorithms in the LR and refer to the works as samples for their usages.
HBA, KA, SEO, FHO, TGA, etc.

Validity of the findings
- Please add research gap section.


I go with a major revision in this step and waiting for your corrections. Then, I give you my technical comments.

Additional comments
- Check the English presentation of this paper to remove the typos mistakes.
- Findings, limitations, and recommendations of this paper can be discussed more in the conclusion section.
- Please bring and focus on future research directions.",Authentic
Dynamic prediction of carbon prices based on the multi-frequency combined model,"As a central participant and important leader in the global climate governance system, China is facing the urgent need to predict and regulate the price of carbon emissions to promote the sound development of its carbon market. In this article, a rolling prediction model based on Least Absolute Shrinkage and Selection Operator-cheetah optimization algorithm-extreme gradient boosting (Lasso-COA-XGBoost) carbon price decomposition integration is proposed to address the defects of low prediction accuracy and insufficient model stability of a single machine learning model in the carbon price prediction problem. During the modeling process, the adaptive Lasso method is first employed to select factors from 15 primary indicators of carbon prices, identifying the most important influencing factors. Next, the COA-XGBoost model is built and the parameters of the XGBoost model are optimized using the COA algorithm. Finally, the complete ensemble empirical Mode Decomposition with adaptive noise (CEEMDAM) method is utilized to decompose the residual sequence of the COA-XGBoost model and reconstruct it into high-frequency and low-frequency components. Appropriate frequency models are applied to achieve error correction, thereby constructing the combined Lasso-COA-XGBoost-CEEMDAN model. To further enhance the predictive accuracy and practicality of the model, a rolling time window is introduced for forecasting in the Hubei and Guangzhou carbon emission trading markets, ensuring that the forecasting model can adapt to market changes in real-time. The experimental results show that, taking the carbon price prediction in Hubei as an example, the proposed hybrid model has a significant improvement in prediction accuracy compared with the comparison model (XGBoost model): the RMSE is improved by 99.9987%, the MAE is improved by 99.9039%, the MAPE is improved by 99.9960%, and the R2 is improved by 0.2004%, and the advantages of this hybrid model are also verified in other experiments. The results provide an effective experimental method for future carbon price prediction.","Basic reporting
The topic is interesting and with possible applicability. However, I have some comments and suggestions which could greatly improve the manuscripts quality and these are:
1- The authors should highlight why COA is selected despite here are several other metaheuristic methods were available
2- Environmental setting used to implement the COA, and other machine learning should be added
3- Some new works using and applicable studies should be added.
4- What is the advantage over established techniques.
5- Conclusion is very weak. It should summarize the research, mention the best scores achieved, mention limitations and finally provide clear directions for the future research in this domain

Experimental design
Environmental setting used to implement the COA, and other machine learning should be added

Validity of the findings
The results are good

Additional comments
N/A",Authentic
Dynamic prediction of carbon prices based on the multi-frequency combined model,"As a central participant and important leader in the global climate governance system, China is facing the urgent need to predict and regulate the price of carbon emissions to promote the sound development of its carbon market. In this article, a rolling prediction model based on Least Absolute Shrinkage and Selection Operator-cheetah optimization algorithm-extreme gradient boosting (Lasso-COA-XGBoost) carbon price decomposition integration is proposed to address the defects of low prediction accuracy and insufficient model stability of a single machine learning model in the carbon price prediction problem. During the modeling process, the adaptive Lasso method is first employed to select factors from 15 primary indicators of carbon prices, identifying the most important influencing factors. Next, the COA-XGBoost model is built and the parameters of the XGBoost model are optimized using the COA algorithm. Finally, the complete ensemble empirical Mode Decomposition with adaptive noise (CEEMDAM) method is utilized to decompose the residual sequence of the COA-XGBoost model and reconstruct it into high-frequency and low-frequency components. Appropriate frequency models are applied to achieve error correction, thereby constructing the combined Lasso-COA-XGBoost-CEEMDAN model. To further enhance the predictive accuracy and practicality of the model, a rolling time window is introduced for forecasting in the Hubei and Guangzhou carbon emission trading markets, ensuring that the forecasting model can adapt to market changes in real-time. The experimental results show that, taking the carbon price prediction in Hubei as an example, the proposed hybrid model has a significant improvement in prediction accuracy compared with the comparison model (XGBoost model): the RMSE is improved by 99.9987%, the MAE is improved by 99.9039%, the MAPE is improved by 99.9960%, and the R2 is improved by 0.2004%, and the advantages of this hybrid model are also verified in other experiments. The results provide an effective experimental method for future carbon price prediction.","Basic reporting
no comment

Experimental design
no comment

Validity of the findings
no comment

Additional comments
Authors used alot acroymn first without full meaning ensure that meaning are used before continuing with acryomn e.g COA, XGBoost e.t.c

Authors should review introduction section to include more recent research of Machine learning ehanced with optimization algorithm such as


The image quality require enhancement at least 300dpi

Avoid personal pronouns e.g we or our maintain formal and academic tone. Ensure formal and academic tone in the entire manuscript

Include quantitative description of findings in the abstract

Phrases such as e,g ""As a key player in the global response to climate change"", ""has become a hot topic of research"" do not demonstrate
shcolary articulation correct such sentences

The motivation and contribution is unclear in the introduction

There's no experiment to test COA algorthim before applying to the problem

Discuss the limitation of the study


#


1. The manuscript includes multiple instances where acronyms such as COA and XGBoost are used without first providing their full meanings. The authors must ensure that all acronyms are clearly defined upon first usage before continuing with their abbreviated forms.

2. The introduction should be revised to incorporate more recent research on machine learning enhanced with optimization algorithms.

3. The quality of the images must be improved to a resolution of at least 300 dpi to ensure clarity and compliance with publication standards.

4. The authors should avoid the use of personal pronouns such as ""we"" or ""our."" The entire manuscript should maintain a formal and academic tone.

5. The abstract should include a quantitative description of the findings to provide a clearer and more precise overview of the study's outcomes.

6. Phrases such as ""As a key player in the global response to climate change"" or ""has become a hot topic of research"" lack scholarly articulation. These sentences should be revised to reflect a more academic and professional style.

7. The motivation and contributions of the study are unclear in the introduction. This section should be refined to clearly articulate the novelty and significance of the work.

8. There is no evidence of experiments conducted to validate the COA algorithm before applying it to the problem. The authors should include a dedicated experiment or discussion to justify its application.

9. The manuscript does not address the limitations of the study. A section discussing potential constraints, challenges, or areas for future improvement should be included",Authentic
